,sentence1,sentence2,similarity_score,sent1_len,sent2_len,aug1
2846,La policía británica detuvo a 21 personas el martes temprano en relación con el presunto asesinato ritual de un niño africano cuyo torso fue encontrado en el río Támesis.,La policía ha arrestado a 21 personas en relación con el asesinato de un joven nigeriano cuyo torso sin cabeza y sin extremidades fue encontrado flotando en el río Támesis.,0.7,29,30,La policía británica arrestó a 21 individuos el martes por la mañana en relación con el presunto asesinato ritual de un niño africano cuyo torso fue hallado en el río Támesis.
2847,"Al final de la tarde, el promedio industrial del Dow Jones subió 12.81, o 0.1 por ciento, a 9,331.77, habiendo ganado 201 puntos el lunes a su nivel más alto desde julio de 2002.","En el comercio matutino, el promedio industrial del Dow Jones bajó 8.76, o 0.1 por ciento, a 9,310.20, habiendo ganado 201 puntos el lunes.",0.25,38,28,"Al cierre de la tarde, el promedio industrial del Dow Jones aumentó 12.81, o el 0.1 por ciento, a 9,331.77, habiendo sumado 201 puntos el lunes a su nivel más alto desde julio de 2002."
2848,Eric Gagne lanzó una novena perfecta para su 23ª salvada en otras tantas oportunidades.,Gagne golpeó dos en una perfecta novena entrada para su 23ª salvada.,0.65,14,12,Eric Gagne lanzó una novena entrada perfecta para su salvamento 23 en igual número de oportunidades.
2849,"Las acciones cerraron en el NASDAQ justo por debajo de su máximo de 52 semanas, a 32,17 dólares, con una subida de 1,54 dólares.","El comercio de las acciones de EchoStar cerró el martes a un máximo de 32,17 dólares en 52 semanas, con una subida de 1,54 dólares.",0.65,26,27,"Las acciones terminaron en el NASDAQ ligeramente por debajo de su máximo de 52 semanas, a 32,17 dólares, con un incremento de 1,54 dólares."
2850,Janice Kelly dijo que su marido había recibido garantías de altos funcionarios del Ministerio de Defensa de que su nombre no se haría público.,Ella dijo a la investigación que su esposo había recibido garantías de su gerente de línea y de los altos funcionarios del ministerio de que cuando se presentara su nombre no se haría público.,0.75,24,34,Janice Kelly aseguró que su esposo había obtenido aseguramientos de importantes autoridades del Departamento de Defensa de que su identidad no sería revelada.
2851,"Si son condenados, se enfrentan a cinco años de prisión y una multa de 250.000 dólares por cada uno de los 11 cargos.","Si son condenados, cada uno enfrenta hasta cinco años de prisión y una multa de 250.000 dólares o más basada en la cantidad de ganancias involucradas.",0.65,24,27,"En caso de ser declarados culpables, se enfrentan a una sentencia de cinco años de encarcelamiento y una multa de 250.000 dólares por cada uno de los 11 cargos imputados."
2852,"Los diferenciales de rendimiento de los bonos corporativos de EE.UU. se estrecharon en el comercio al contado el viernes, mientras Wall Street se esforzaba por volver a ponerse en pie después del mayor apagón de la historia de América del Norte.","Las acciones de EE.UU. subieron ligeramente en el volumen de la luz de las plumas el viernes, mientras Wall Street se reagrupaba después del mayor corte de energía en la historia de América del Norte.",0.7199999809265136,42,36,"Los diferenciales de retorno de los bonos corporativos estadounidenses se redujeron en las operaciones al contado el viernes, mientras que Wall Street intentaba recuperarse del mayor apagón registrado en la historia de Norteamérica."
2853,"La evacuación se llevó a cabo sin problemas, aunque no se le dijo a los pasajeros lo que estaba pasando, dijo Hunt.","Los pasajeros fueron evacuados sin problemas, aunque no se les dijo lo que estaba pasando, dijo.",0.8800000190734864,22,16,"La evacuación se realizó sin inconvenientes, aunque no se informó a los pasajeros sobre lo que estaba sucediendo, según Hunt."
2854,Entre 1993 y 2002 se comunicaron 142 denuncias de agresión sexual.,"De 1993 a 2002, se denunciaron 142 agresiones sexuales en la academia.",0.7199999809265136,11,12,Entre 1993 y 2002 se reportaron 142 denuncias de agresión sexual.
2855,"Smith dijo simplemente ""Oh, Dios mío"", en los segundos siguientes, según Weinshall.","En los segundos posteriores al choque, añadió, el Capitán Smith dijo simplemente, ""Oh Dios mío"".",0.75,12,15,"Smith simplemente exclamó ""Oh, Dios mío"", en los momentos siguientes, de acuerdo con Weinshall."
2856,Cooley dijo que espera que Mahoma sea llamado como testigo en la audiencia previa al juicio de Malvo.,Lee Boyd Malvo será llamado como testigo el miércoles en una audiencia previa al juicio del sospechoso de ser francotirador John Allen Muhammad.,0.5,18,23,Cooley manifestó que espera que Mahoma sea convocado como testigo en la audiencia preliminar del juicio de Malvo.
2857,"""Realmente nos dejó con una sonrisa en su rostro y sin últimas palabras"", dijo la hija Linda Hope.","""Realmente nos dejó con una sonrisa en su rostro y sin últimas palabras... Nos dio un beso a cada uno y eso fue todo"", dijo.",0.65,18,25,"""Realmente nos dejó con una sonrisa en su rostro y sin palabras finales"", expresó su hija Linda Hope."
2858,También podría ser excluido permanentemente de la industria de valores.,"El joven se enfrenta a una multa, una suspensión o la prohibición permanente de la industria de valores.",0.6665999889373779,10,18,También podría ser excluido de manera permanente del sector de valores.
2859,"""Eran una pareja inspiradora, desinteresada y valiente"", dijo el director de cine ganador del Oscar.","Dijo: ""Eran una pareja inspiradora, desinteresada y valiente.",0.6,15,8,"""Erán una pareja motivadora, desprendida y valerosa"", afirmó el director de cine ganador del Oscar."
2860,"Una segunda víctima, Michael Walker, 23, fue golpeado en el torso, la bala perforó su pulmón.","La otra víctima, Michael Walker, del 550 de la calle Barbey, fue golpeado en el cuello.",0.4400000095367432,16,16,"Un segundo afectado, Michael Walker, de 23 años, recibió un impacto en el pecho, que atravesó su pulmón."
2861,"En una entrevista, Healey, que es criminólogo, reconoció que gran parte del sentimiento entre los legisladores de aquí y de todo el país era la cautela hacia la pena capital.","En una entrevista, la Sra. Healey, que es criminóloga, dijo que muchos legisladores de aquí y de todo el país compartían la preocupación por la pena capital.",0.9199999809265137,30,27,"En una conversación, Healey, quien es experto en criminología, admitió que una gran parte de la sensación entre los legisladores locales y nacionales era la precaución hacia la pena de muerte."
2862,"La jueza ejecutiva del condado de Franklin, Teresa Barton, dijo que un bombero fue alcanzado por un rayo y fue llevado al Centro Médico Regional de Frankfort.","Un bombero del condado, fue alcanzado por un rayo y se encontraba en condiciones estables en el Centro Médico Regional de Frankfort.",0.6400000095367432,27,22,"La directora ejecutiva del condado de Franklin, Teresa Barton, informó que un bombero fue impactado por un rayo y fue trasladado al Centro Médico Regional de Frankfort."
2863,"El portavoz de la policía, el general de brigada Edward Aritonang, confirmó el sábado que otros dos han sido arrestados, uno en Yakarta y otro en Magelang, Java Central.","El general de brigada Edward Aritonang, portavoz de la policía, confirmó ayer que otros dos han sido arrestados, uno en Yakarta y otro en Magelang, Java Central.",1.0,29,27,"El vocero de la policía, el general de brigada Edward Aritonang, confirmó el sábado que otros dos individuos han sido detenidos, uno en Yakarta y otro en Magelang, en Java Central."
2864,El juez federal William Barbour dijo el martes que impuso la máxima sentencia porque Avants no mostró remordimiento en el brutal asesinato.,El Juez de Distrito William Barbour dijo que impuso el máximo porque Avants no mostró remordimiento.,0.7199999809265136,22,16,El juez federal William Barbour declaró el martes que impuso la sentencia máxima debido a que Avants no mostró arrepentimiento por el brutal asesinato.
2865,A unos 120 posibles jurados se les pedía que rellenaran un extenso cuestionario.,Los jurados fueron llevados a la sala en grupos de 40 y se les pidió que llenaran un cuestionario.,0.6400000095367432,13,19,Aproximadamente 120 potenciales jurados fueron instados a completar un amplio cuestionario.
2866,"También se eligieron cinco jurados alternativos, y el último se seleccionará el viernes por la mañana en el panel.","También se seleccionaron cinco jurados suplentes, con un sexto suplente a ser elegido el viernes.",0.9199999809265137,19,15,"También se seleccionaron cinco jurados suplentes, y el último será elegido el viernes por la mañana en el panel."
2867,La Oficina Agrícola de California no devolvió inmediatamente las llamadas en busca de comentarios.,La Oficina Agrícola de California no tuvo inmediatamente una respuesta oficial a la decisión del martes.,0.7599999904632568,14,16,La Oficina Agrícola de California no respondió de inmediato las llamadas en busca de comentarios.
2868,Pero el primer ministro dijo a la BBC que no le molestaban las encuestas y que continuaría haciendo lo que creía que era correcto.,"Dijo que no le molestaban las encuestas y que continuaría haciendo lo que creía correcto, tanto en política exterior como interior.",0.6800000190734863,24,21,"Sin embargo, el primer ministro le dijo a la BBC que no le preocupaban las encuestas y que seguiría haciendo lo que creía correcto."
2869,El General Sattler dirige un Grupo de Tareas Conjunto Combinado con base en un barco en el Golfo de Adén y el Océano Índico.,El General Sattler dirige una Fuerza de Tarea Conjunta Combinada a bordo de la nave de comando Mount Whitney.,0.7199999809265136,24,19,El General Sattler lidera un Grupo de Tareas Conjunto Combinado con base en un navío en el Golfo de Adén y el Océano Índico.
2870,"Los analistas de Wall Street esperaban 22 centavos por acción, según Thomson First Call.",Los resultados fueron 3 centavos de dólar menos que el pronóstico de los analistas encuestados por Thomson First Call.,0.4400000095367432,14,19,"Los expertos de Wall Street anticipaban 22 céntimos por acción, de acuerdo con Thomson First Call."
2871,El fallo legal se produce después de tres días de intensas especulaciones sobre la posibilidad de que Hewlett-Packard Co. haga una oferta por la empresa.,El fallo legal se produce después de tres días de una salvaje volatilidad en las acciones de RIM por la especulación de que el gigante de la PC Hewlett-Packard Co. podría estar haciendo una oferta por la compañía.,0.7199999809265136,26,39,La decisión judicial se da luego de tres jornadas de intensas conjeturas sobre la probabilidad de que Hewlett-Packard Co. realice una oferta por la compañía.
2872,Los hallazgos fueron publicados en la edición del 1 de julio de Annals of Internal Medicine.,Los hallazgos se publican hoy en los Anales de Medicina Interna.,0.7599999904632568,16,11,Los resultados fueron divulgados en la edición del 1 de julio de la revista Annals of Internal Medicine.
2873,Las medidas podrían ser tomadas por el pleno del Senado ya el viernes.,Ratliff dijo que espera llevar las dos medidas al pleno del Senado para el viernes.,0.8,13,15,Las medidas podrían ser discutidas por el Senado en pleno ya este viernes.
2874,"El portavoz de Enron, Eric Thode, se negó a comentar la orden de mediación.","""Creemos que es una gran noticia"", dijo el portavoz de Enron, Eric Thode.",0.34660000801086427,14,13,"El vocero de Enron, Eric Thode, se abstuvo de comentar la orden de conciliación."
2875,Los analistas del Departamento de Trabajo creen que las estadísticas de la nómina de la encuesta de empresas proporcionan una imagen más precisa de la economía porque las cifras de la encuesta se basan en una muestra más amplia.,Los analistas dijeron que creen que las estadísticas de las nóminas de pago proporcionan una imagen más precisa de la economía porque se basan en una muestra más amplia.,0.8,39,29,"Los analistas del Departamento de Trabajo consideran que las estadísticas salariales de la encuesta a empresas brindan una visión más acertada de la economía, ya que los datos de la encuesta se basan en una muestra más extensa."
2876,Los padres quieren mantenerla viva; su marido dice que nunca quiso que la mantuvieran viva artificialmente.,Michael Schiavo ha argumentado que su esposa nunca quiso que la mantuvieran viva artificialmente.,0.5599999904632569,16,14,Los progenitores desean mantenerla con vida; su esposo manifiesta que nunca quiso que la mantuvieran con vida artificialmente.
2877,"Antes, le dijo a France Inter-Radio, ""Creo que ahora podemos calificar lo que está sucediendo como una verdadera epidemia"".","""Creo que ahora podemos calificar lo que está sucediendo como una verdadera epidemia"", dijo el Ministro de Salud Jean-Francois Mattei en France Inter radio.",0.6400000095367432,20,25,"Anteriormente, declaró a France Inter-Radio, ""Creo que ahora podemos denominar lo que está ocurriendo como una verdadera epidemia""."
2878,"Se espera que Terri Schiavo, de 39 años, muera en algún momento de las próximas dos semanas en el hospicio de la zona de Tampa donde ha pasado los últimos años.","Terri Schiavo, de 39 años, se sometió al procedimiento en el hospicio del área de Tampa Bay, donde ha estado viviendo durante varios años, dijo su padre, Bob Schindler.",0.3599999904632568,31,29,"Se prevé que Terri Schiavo, de 39 años, fallezca en algún momento de las próximas dos semanas en el hospicio de la zona de Tampa donde ha residido los últimos años."
2879,"Antes de unirse a Kodak, Palumbo trabajó para Procter & Gamble Corp., donde manejó productos como el champú Folgers y Pantene.","Antes de unirse a Eastman Kodak, el Sr. Palumbo ocupó puestos de marketing senior en Procter & Gamble.",0.75,20,17,"Antes de incorporarse a Kodak, Palumbo laboró para Procter & Gamble Corp., donde se encargó de productos como el champú Folgers y Pantene."
2880,Al Sr. McDevitt se le ha concedido el control de tres aspectos cruciales de la policía en las Salomón.,Al Sr. McDevitt se le ha concedido el control de tres aspectos de la policía por el Comisionado William Morrell.,0.75,19,20,Al Sr. McDevitt se le ha otorgado la autoridad sobre tres elementos clave de las fuerzas del orden en las Islas Salomón.
2881,No se pudo contactar con los oficiales del North Carolina Speedway en Rockingham.,No se pudo contactar a los oficiales de NASCAR para hacer comentarios el martes.,0.5817999839782715,13,14,No fue posible establecer comunicación con los funcionarios del North Carolina Speedway en la localidad de Rockingham.
2882,Dijeron que el niño fue llevado al Centro Médico del Condado de Nassau para ser observado.,"El chico fue llevado al Centro Médico de la Universidad de Nassau, donde el personal dijo que estaba ""bien"".",0.6800000190734863,16,19,Manifestaron que el menor fue trasladado al Centro Médico del Condado de Nassau para ser examinado.
2883,"Tisha Kresler, portavoz de Global Crossing, se negó a hacer comentarios.",Un representante de Global Crossing no hizo ningún comentario inmediato.,0.7199999809265136,11,10,"Tisha Kresler, representante de Global Crossing, se abstuvo de realizar declaraciones."
2884,Los sindicatos también organizaron una huelga de cinco días en marzo que obligó a cerrar todos los comedores de Yale menos uno.,Los sindicatos también organizaron una huelga de cinco días en marzo; las huelgas han precedido a ocho de los últimos 10 contratos.,0.5199999809265137,22,22,"Los gremios también planificaron una huelga de cinco jornadas en marzo que forzó el cierre de todos los comedores de Yale, a excepción de uno."
2885,"El gobernador Rick Perry ha dicho que aunque se opone a la expansión del juego, sería reacio a vetar la continuación de la Comisión de la Lotería.","El gobernador Rick Perry se opone a la expansión de las apuestas, pero ha dicho que le sería ""difícil"" vetar el proyecto de ley de la lotería al atardecer.",0.7599999904632568,27,29,"El gobernador Rick Perry ha expresado que, a pesar de estar en contra de la ampliación del juego, dudaría en negar su aprobación a la continuación de la Comisión de la Lotería."
2886,"A media tarde, el índice compuesto del Nasdaq subió 8.34, o 0.5 por ciento, a 1,790.47.","El Índice Compuesto del Nasdaq .IXIC bajó 8,59 puntos, o el 0,48 por ciento, a 1.773,54.",0.3200000047683716,20,20,"A medianoche, el índice composite del Nasdaq ascendió 8.34, o un 0.5 por ciento, llegando a 1,790.47."
2887,"En Kentucky, el Fiscal General Demócrata Ben Chandler se enfrenta al Representante de los Estados Unidos Ernie Fletcher.","Kentucky: El republicano Ernie Fletcher, miembro de la Cámara de Representantes durante tres mandatos, se enfrenta al Fiscal General del Estado demócrata Ben Chandler.",0.7599999904632568,18,24,"En el estado de Kentucky, el Fiscal General Demócrata Ben Chandler se enfrenta al Representante de los EE.UU. Ernie Fletcher."
2888,"El promedio industrial del Dow Jones cayó 98.32, o cerca del 1.1 por ciento, a 9011.53.","El promedio industrial del Dow Jones terminó el día con una caída de 98,32 puntos, a 9.011,53.",0.6800000190734863,19,20,"El índice industrial Dow Jones descendió 98.32, o casi un 1.1 por ciento, ubicándose en 9011.53."
2889,"El plan 401(k) de Enron cubría a unos 20.000 trabajadores, jubilados y beneficiarios.",Las acciones de Enron comprendían hasta el 61% de las carteras 401(k) de los trabajadores.,0.5,15,16,"El plan 401(k) de Enron comprendía aproximadamente a 20.000 empleados, jubilados y beneficiarios."
2890,El comité judicial del Senado de los EE.UU. superó ayer un obstáculo importante en la batalla para crear un fondo fiduciario para pagar a las víctimas de la exposición al amianto.,"El comité judicial del Senado superó el martes un obstáculo importante en la batalla para crear un fondo fiduciario para pagar a las víctimas de la exposición al amianto, pero los obstáculos más difíciles siguen siendo.",0.75,32,36,La comisión jurídica del Senado de los EE.UU. logró ayer sortear un impedimento significativo en la lucha por establecer un fondo de fideicomiso para indemnizar a las víctimas de la exposición al asbesto.
2891,Pero no dijo si certificará el presupuesto de 117.400 millones de dólares para 2004-05.,Dijo que aún no sabía si certificaría el presupuesto.,0.6334000110626221,16,9,"Sin embargo, no se pronunció sobre si aprobará el presupuesto de 117.400 millones de dólares para el período 2004-05."
2892,Sería difícil sobreestimar los peligros potenciales de la vulnerabilidad de la Llamada de Procedimiento a Distancia (RPC).,"La falla involucra el protocolo de Llamada de Procedimiento Remoto (RPC), que se ocupa de las comunicaciones entre computadoras.",0.5,17,19,Resultaría complicado exagerar los posibles riesgos de la susceptibilidad de la Llamada de Procedimiento a Distancia (RPC).
2893,"Aunque la obesidad puede aumentar el riesgo de problemas de salud, los escépticos argumentan que también lo hacen el fumar y el colesterol alto.","Aunque la obesidad puede aumentar el riesgo de una serie de problemas de salud, los escépticos sostienen que también lo hacen el fumar y el colesterol alto, que no se consideran enfermedades.",0.85,24,32,"A pesar de que la obesidad podría incrementar el peligro de problemas de salud, los escépticos afirman que también lo hacen el tabaquismo y los altos niveles de colesterol."
2894,Michelle Wie juega el domingo durante su victoria sobre Virada Nirapathpongporn en el 27º Campeonato Femenino Amateur de Enlaces Públicos de EE.UU.,Ahora tiene su primer trofeo después de la victoria en el US Women's Amateur Public Links aquí el domingo.,0.55,23,20,Michelle Wie compitió el domingo durante su triunfo sobre Virada Nirapathpongporn en el 27º Campeonato Femenino Amateur de Enlaces Públicos de EE.UU.
2895,"Sony dijo que la PSP también contaría con una pantalla LCD de 4,5 pulgadas, ranuras de expansión para Memory Stick.","También cuenta con una pantalla LCD de 4,5 pulgadas retroiluminada y facilidades de expansión de memoria.",0.55,21,17,"Sony anunció que la PSP también incluiría una pantalla LCD de 4,5 pulgadas y ranuras de expansión para Memory Stick."
2896,"En uno de los tres sitios de muestreo en Huntington Beach, la lectura de la bacteria volvió a 160 el 16 de junio y a 120 el 23 de junio.",Las lecturas volvieron a 160 el 16 de junio y a 120 el 23 de junio en uno de los tres sitios de muestreo en Huntington Beach.,0.65,30,27,"En uno de los tres lugares de muestreo en Huntington Beach, la lectura de la bacteria volvió a 160 el 16 de junio y a 120 el 23 de junio."
2897,"Donde los palangres solían capturar 10 peces por cada 100 anzuelos en décadas pasadas, ahora tienen suerte de capturar uno, según el estudio.","""Mientras que los palangres solían atrapar 10 peces por cada 100 anzuelos, ahora tienen suerte de atrapar uno"", dijo Myers.",0.8399999618530274,23,20,"Donde los palangres solían atrapar 10 peces por cada 100 anzuelos en décadas pasadas, ahora tienen suerte de atrapar uno, según el informe."
2898,"Las acciones de Carnival Corp. se cotizaban a 31,29 dólares al mediodía del miércoles, con una baja de 72 centavos o 2,25 por ciento.","Las acciones de Carnival Corp. bajaron un 2,5 por ciento, o 81 centavos, a 31,20 dólares en la Bolsa de Nueva York.",0.6400000095367432,26,24,"Las acciones de Carnival Corp. se negociaban a 31,29 dólares al mediodía del miércoles, con una caída de 72 centavos o el 2,25 por ciento."
2899,Pero las críticas del Senado al plan de la Cámara de Representantes del martes se dieron en varios frentes.,Y varios senadores republicanos están irritados por el mapa de la Casa.,0.55,19,12,"Sin embargo, las críticas del Senado al plan de la Cámara de Representantes del martes se produjeron en varios frentes."
2900,"Como resultado, Murphy buscó sustituir a la hermana de Strier, Ethel Celnik, como fideicomisaria.","Murphy dijo que la hermana de Strier, Ethel Celnik, estaba en la sala en ese momento, pero Strier no.",0.35,14,19,"En consecuencia, Murphy trató de reemplazar a la hermana de Strier, Ethel Celnik, en el cargo de fiduciaria."
2901,"La regla prohíbe a los grupos emitir anuncios que promuevan, apoyen, ataquen u opongan a un candidato en cualquier momento.","Mantuvo las reglas de reserva que prohíben a los mismos grupos emitir anuncios que promuevan, apoyen, ataquen u opongan a un candidato en cualquier momento.",0.75,20,25,"La normativa impide que las organizaciones difundan publicidad que respalde, favorezca, critique o se oponga a algún candidato en cualquier momento."
2902,Cisco redujo el gasto para compensar la lentitud de las ventas.,"En respuesta a la lentitud de las ventas, Cisco redujo el gasto.",0.9600000381469727,11,12,Cisco recortó los gastos para equilibrar la disminución en las ventas.
2903,"Kansas City reclutó al jardinero Chris Lubanski, del instituto Kennedy-Kenrick de Pennsylvania, con la quinta elección.","La Realeza eligió a Chris Lubanski, un jardinero de secundaria de Pensilvania que bateó .528, con la quinta elección.",0.6800000190734863,17,19,"Kansas City contrató al jardinero Chris Lubanski, del instituto Kennedy-Kenrick de Pennsylvania, como quinta selección."
2904,"La libra esterlina bajó un 0,8 por ciento frente al dólar, a 1,5875 libras esterlinas.","El dólar subió un 0,15 por ciento frente a la moneda japonesa hasta los 115,97 yenes.",0.1600000023841858,17,18,"La libra esterlina descendió un 0,8 por ciento en comparación con el dólar, situándose en 1,5875 libras esterlinas."
2905,"El promedio industrial del Dow Jones .DJI subió 41,61 puntos, o 0,44 por ciento, a 9.415,82.","El Dow Jones subió 41,61 puntos el viernes, una ganancia de 0,4% para el día y 0,7% para la semana.",0.8,20,23,"El Promedio Industrial Dow Jones .DJI aumentó 41,61 puntos, o un 0,44 por ciento, hasta alcanzar los 9.415,82."
2906,"""Desde el principio, no queríamos ver a nadie recibiendo un recorte de sueldo.","Pero el Sr. Crosby le dijo a The Associated Press: ""Desde el principio, no queríamos ver a nadie recibiendo un recorte de sueldo.",0.8,13,23,"""Desde el inicio, no deseábamos que alguien sufriera una reducción salarial."
2907,"""Hubo una serie de señales fallidas burocráticas y administrativas... no hay una sola persona responsable aquí"", dijo Gehman.","Al rechazar la oferta del NIMA, Gehman dijo, ""hubo un número de señales burocráticas y administrativas perdidas aquí"".",0.75,18,18,"""Hubo una serie de señales fallidas burocráticas y administrativas... no hay una única persona culpable aquí"", afirmó Gehman."
2908,"DeVries hizo una parada en la ciudad el miércoles, registrándose como delincuente sexual en el Departamento de Policía de Soledad.",El pederasta convicto Brian DeVries habló en respuesta a la indignación de la comunidad el miércoles por la tarde después de registrarse como delincuente sexual en el Departamento de Policía de Soledad.,0.65,20,32,"DeVries hizo una parada en la ciudad el miércoles, registrándose como delincuente sexual en la Comisaría de Policía de Soledad."
2909,"A las 5 p.m. EDT, el centro de Grace estaba cerca de la latitud 25.6 norte, longitud 93.7 oeste o cerca de 280 millas este-sureste de Corpus Christi.","A las 11 a.m. EDT, el centro de Fabián estaba cerca de la latitud 18.1 norte y la longitud 53.2 oeste, o cerca de 550 millas al este de los Leewards.",0.25,32,34,"A las 5 p.m. EDT, el centro de Grace se encontraba cerca de la latitud 25.6 norte, longitud 93.7 oeste, o aproximadamente a 280 millas este-sureste de Corpus Christi."
2910,"El sábado, un saque a 149 mph contra Agassi igualó el récord mundial de Rusedski.","El sábado, Roddick igualó el récord mundial con un saque de 149 m.p.h. al vencer a Andre Agassi.",0.7,15,20,"El sábado, un servicio a 149 mph frente a Agassi empató el récord global de Rusedski."
2911,"El más amplio Índice 500 de Standard & Poor's. El SPX subió 10 puntos, o 1,10 por ciento, a 943.","El Índice Compuesto del Nasdaq .IXIC saltó 43,64 puntos, o 2,89 por ciento, a 1.553,73.",0.2,21,19,"El índice 500 de Standard & Poor's, el más extenso. El SPX aumentó 10 puntos, o un 1,10%, hasta los 943."
2912,"Los futuros del petróleo para calefacción de octubre se liquidaron 0,85 centavos menos a 69,89 centavos por galón.","El aceite de calefacción de octubre bajó 0,41 centavos a 70,74 centavos por galón.",0.5,20,16,"Los futuros del petróleo para calefacción de octubre cerraron con una bajada de 0,85 céntimos a 69,89 céntimos por galón."
2913,El Sr. Levine confirmó que la Sra. Cohen Alon había tratado de vender la historia durante la Copa Mundial.,"El abogado de la Sra. Cohen Alon, Donald Levine, confirmó que ella trató de vender la historia en febrero.",0.6875999927520752,19,19,El Sr. Levine corroboró que la Sra. Cohen Alon intentó vender la historia durante la Copa del Mundo.
2914,"El Sr. Bankhead dijo que las escenas del crimen indicaban que el asesino era ""muy metódico"".","El portavoz del GBI, John Bankhead, dijo que las escenas de los asesinatos mostraban que el asesino era muy metódico.",0.8,16,20,"El Sr. Bankhead afirmó que las escenas del crimen sugerían que el asesino era ""muy sistemático""."
2915,"""Esto nos acerca mucho más a decir que la espuma puede hacer este tipo de daño"", dijo Hubbard, un miembro de la Junta de Investigación de Accidentes de Columbia.","""Creo que esto nos acerca mucho más a decir que la espuma puede hacer este tipo de daño"", dijo Hubbard.",0.7199999809265136,29,20,"""Esto nos lleva mucho más cerca de poder decir que la espuma puede causar este tipo de daño"", comentó Hubbard, integrante de la Junta de Investigación de Accidentes de Columbia."
2916,"""No tuvimos nada que ver con la decisión del personal interno de @Stake"", dijo el portavoz de Microsoft Sean Sundwell.","""Microsoft no tuvo absolutamente nada que ver con la decisión de personal interno de AtStake"", dijo Sundwall.",0.8399999618530274,20,17,"""No tuvimos nada que ver con la decisión del equipo interno de @Stake"", declaró el portavoz de Microsoft Sean Sundwell."
2917,"Los egiptólogos ponen en duda el martes la afirmación de una expedición de que podría haber encontrado la momia de la Reina Nefertiti, una de las más conocidas del antiguo Egipto.","Los egiptólogos creen que pueden haber identificado la tan buscada momia de la Reina Nefertiti, una de las bellezas legendarias del mundo antiguo.",0.5199999809265137,31,23,"Los egiptólogos cuestionaron el martes la aseveración de una expedición de que podrían haber encontrado la momia de la Reina Nefertiti, una de las más famosas del antiguo Egipto."
2918,El plan a largo plazo del Tesoro es proporcionar a los compradores minoristas de todos los valores del Tesoro la capacidad de gestionar sus tenencias en línea en una sola cuenta.,El Tesoro dijo que quiere dar a los compradores minoristas de todos los valores del Tesoro la posibilidad de gestionar eventualmente las tenencias en línea en una sola cuenta.,0.8800000190734864,31,29,El plan a largo plazo del Tesoro es brindar a los compradores minoristas de todos los valores del Tesoro la posibilidad de administrar sus tenencias en línea en una única cuenta.
2919,"Anoche estaba en estado crítico pero estable en el Centro Hospitalario del Condado de Kings, dijo la policía.","Esa víctima, un residente de Nueva Jersey, estaba en estado crítico pero estable en el hospital.",0.65,18,16,"Anoche se encontraba en estado crítico pero estable en el Centro Hospitalario del Condado de Kings, según la policía."
2920,"El bono a 30 años US30YT=RR creció 1-3/32 para un rendimiento del 4,30 por ciento, por debajo del 4,35 por ciento del miércoles pasado.","A las 11 a.m. (1500 GMT), la nota de 10 años US10YT=RR subió 11/32 para un rendimiento del 3,36 por ciento desde el 3,40 por ciento del miércoles.",0.4,29,33,"El bono a 30 años US30YT=RR experimentó un aumento de 1-3/32, lo que resultó en una rentabilidad del 4,30 por ciento, ligeramente inferior al 4,35 por ciento de la semana anterior."
2921,"Las acciones de IAC cerraron ayer con una baja de $2.81, o 7.6 por ciento, a $34.19.","Las acciones de InterActiveCorp cerraron a 34,19 dólares, con una baja de 2,81 dólares, o un 7,6 por ciento en el mercado de valores de Nasdaq.",0.9,20,29,"Las acciones de IAC finalizaron ayer con una disminución de $2.81, equivalente a un 7.6 por ciento, situándose en $34.19."
2922,"Byrd, hablando desde el Senado, dijo que cuestionaba ""los motivos de un presidente de escritorio que asume la vestimenta de un guerrero a efectos de un discurso"".","""Pero cuestiono los motivos de un presidente de escritorio que asume el traje de un guerrero para los propósitos de un discurso.""",0.6800000190734863,27,22,"Desde el Senado, Byrd expresó sus dudas sobre ""las intenciones de un presidente de oficina que adopta la apariencia de un combatiente con el propósito de un discurso""."
2923,El Ministerio de Defensa se enfrenta a una demanda de indemnización de 20 millones de dólares de cientos de mujeres kenianas que afirman haber sido violadas por soldados británicos.,Cientos de mujeres kenianas que afirman haber sido atacadas y violadas por soldados británicos recibieron el miércoles ayuda legal del gobierno para llevar adelante su caso contra el Ministerio de Defensa.,0.6,29,31,El Ministerio de Defensa se enfrenta a una reclamación de compensación de 20 millones de dólares por parte de cientos de mujeres kenianas que alegan haber sido agredidas sexualmente por militares británicos.
2924,"Las acciones de USA Interactive subieron 2,28 dólares, o un 7 por ciento, a 34,96 dólares el viernes en el comercio compuesto del mercado de valores del Nasdaq y han ganado un 53 por ciento este año.","Las acciones de LendingTree subieron 6,03 dólares, o el 41 por ciento, para cerrar a 20,72 dólares en el mercado de valores de Nasdaq ayer.",0.2,39,27,"Las acciones de USA Interactive incrementaron su valor en 2,28 dólares, o un 7 por ciento, alcanzando los 34,96 dólares en el comercio compuesto del mercado de valores del Nasdaq el viernes, y han registrado un aumento del 53 por ciento durante este año."
2925,"Proyectos de ley similares fueron aprobados por la Cámara dos veces, pero murieron en el Senado.","Hace dos años, la Cámara aprobó una versión similar que se tambaleó en el Senado.",0.55,16,15,"Propuestas legislativas parecidas fueron aprobadas por la Cámara en dos ocasiones, pero no lograron avanzar en el Senado."
