,sentence1,sentence2,similarity_score,aug1,aug2
3475,el presidente ruso putin firma el decreto que suspende la aplicación por parte de rusia del tratado europeo de control de armas.,el presidente vladimir putin firmó un decreto que suspendía la participación de rusia en el tratado de fuerzas convencionales en europa.,0.8800000190734864,El presidente ruso Putin ha firmado un decreto que suspende la aplicación por parte de Rusia del tratado europeo de control de armamentos.,"El mandatario ruso, Vladímir Putin, emitió un decreto oficial que daba por finalizada la participación de Rusia en el Tratado de Fuerzas Armadas Convencionales en Europa."
3476,myanmar era antes conocida como birmania.,Myanmar se llamaba antes Birmania.,1.0,Myanmar era anteriormente conocida como Birmania.,"Anteriormente, Myanmar era conocido como Birmania."
3477,el alto huallaga se encuentra al noreste de la capital lima.,"puerto cabezas está situado a 557 km al noreste de managua, nicaragua.",0.0,El Alto Huallaga se encuentra en la región noreste de la capital Lima.,"Puerto Cabezas se localiza a 557 kilómetros en dirección nordeste con respecto a Managua, la capital de Nicaragua."
3478,la otan lamenta la decisión de rusia de suspender la participación en la cfe.,La decisión de Rusia de suspender la participación en la CFE es un paso en la dirección equivocada.,0.7599999904632568,La OTAN lamenta la decisión de Rusia de suspender su participación en el CFE.,La decisión de Rusia de abandonar su participación en el Tratado de Fuerzas Nucleares Intermedias es una medida regresiva.
3479,"Las violaciones de los derechos humanos en Myanmar incluyen ejecuciones sumarias, torturas y el reclutamiento de niños soldados.","estas violaciones de los derechos humanos incluyen ejecuciones sumarias, tortura y reclutamiento de niños",0.8399999618530274,"Las violaciones de los derechos humanos en Myanmar incluyen ejecuciones extrajudiciales, torturas y el reclutamiento de niños soldado.","Estas transgresiones a los derechos humanos abarcan ejecuciones extrajudiciales, tormento y el enrolamiento de menores de edad."
3480,El general Nikolai N. Urakov declaró por teléfono que el Centro Científico Estatal de Microbiología Aplicada tiene sistemas de protección bastante fiables en caso de emergencia.,El General Nikolai N. Urakov es el director desde hace mucho tiempo del Centro Científico Estatal de Microbiología Aplicada.,0.4800000190734863,El líder militar Nikolai N. Urakov afirmó vía telefónica que el Centro Estatal de Microbiología Aplicada cuenta con medidas de seguridad altamente confiables para situaciones de emergencia.,El General Nikolai N. Urakov lleva mucho tiempo liderando el Centro Científico Estatal de Microbiología Aplicada.
3481,Alstom está compitiendo con países japoneses y alemanes por el contrato.,Alstom está compitiendo con la compañía japonesa Shinkansen y la alemana Ice por el contrato.,0.7199999809265136,Alstom se encuentra en competencia con empresas de Japón y Alemania por el contrato.,Alstom compite con las compañías japonesa Shinkansen y alemana Ice por adjudicarse el contrato.
3482,"la legislación es el esfuerzo más reciente de japón para atribuir más libertad a sus fuerzas armadas, que están muy controladas, y anularía la prohibición del uso militar del espacio.",la legislación es el esfuerzo más reciente de japón para atribuir más libertad a los militares estrictamente controlados técnicamente conocidos como fuerza de autodefensa.,0.7599999904632568,"Esta ley representa el intento más reciente de Japón por otorgar mayor autonomía a sus fuerzas militares, actualmente bajo estricta vigilancia, y revocaría la prohibición del uso bélico del espacio.","La nueva ley es el último intento de Japón por otorgar mayor autonomía a sus fuerzas armadas, técnicamente conocidas como Fuerzas de Autodefensa, que se encuentran bajo un estricto control."
3483,corea del sur lanza un nuevo tren bala que alcanza los 300 kph.,Corea del Sur tiene un sistema de trenes bala desde los años 80.,0.4,Corea del Sur presenta un nuevo tren de alta velocidad capaz de alcanzar los 300 kph.,Corea del Sur posee un sistema de trenes de alta velocidad desde la década de 1980.
3484,Rusia es miembro del cuarteto de Oriente Medio.,Rusia es miembro de la NGS.,0.4400000095367432,Rusia forma parte del cuarteto de Oriente Medio.,Rusia forma parte de la NGS.
3485,Anatoly Sokolov anunció que el sistema de defensa de misiles A-135 construido por los soviéticos en Moscú es obsoleto e ineficiente.,El sistema de defensa de misiles A-135 construido por los soviéticos alrededor de Moscú es obsoleto e ineficiente.,0.9199999809265136,"Anatoly Sokolov anunció que el sistema de defensa de misiles A-135, construido por la Unión Soviética en Moscú, es anticuado e ineficiente.","El sistema de defensa antimisiles A-135, construido por los soviéticos alrededor de Moscú, está desactualizado y es ineficaz."
3486,el trato ha estado en proceso durante varios años.,El OIEA ha estado investigando las actividades nucleares de Irán durante 4 años.,0.1200000047683715,El acuerdo ha estado en desarrollo durante varios años.,El OIEA lleva cuatro años investigando las actividades nucleares de Irán.
3487,La adhesión a las obligaciones de no proliferación aumentará la confianza mutua y fomentará la cooperación internacional en materia de energía nuclear.,zhang yan declaró que todos los países deberían cumplir las obligaciones de no proliferación a fin de aumentar la confianza mutua y crear un entorno propicio para la cooperación internacional en materia de energía nuclear.,0.6400000095367432,El cumplimiento de las obligaciones de no proliferación mejorará la confianza recíproca y estimulará la cooperación internacional en el ámbito de la energía nuclear.,Zhang Yan afirmó que todas las naciones deberían cumplir con las obligaciones de no proliferación para fomentar la confianza mutua y crear un clima favorable para la colaboración internacional en materia de energía nuclear.
3488,la compañía francesa de energía y transporte alstom podría firmar un contrato para construir un enlace ferroviario de alta velocidad entre pekín y shanghai.,Alstom podría firmar un contrato para construir un enlace ferroviario de alta velocidad entre Pekín y Shanghai.,0.8,La empresa francesa de energía y transporte Alstom podría firmar un contrato para la construcción de una vía férrea de alta velocidad entre Beijing y Shanghai.,Alstom podría firmar un acuerdo para construir una línea de ferrocarril de alta velocidad entre Pekín y Shanghái.
3489,ninguna otra droga se ha convertido en tan integral en décadas.,la droga ha existido en otras formas durante años.,0.4,Ninguna otra sustancia se ha vuelto tan fundamental en décadas.,La sustancia ha existido en otras formas durante años.
3490,el organismo internacional de energía atómica llegó a un acuerdo con los funcionarios iraníes en el que se afirmaba que no había cuestiones pendientes ni ambigüedades en relación con el programa y las actividades nucleares de Irán.,el acuerdo decía que no quedaban cuestiones y ambigüedades en relación con el programa y las actividades nucleares de Irán.,0.6800000190734863,"La agencia internacional de energía atómica alcanzó un consenso con los representantes iraníes, asegurando que no existían asuntos pendientes ni incertidumbres relacionadas con el plan y las acciones nucleares de Irán.",El acuerdo estipulaba que no existían dudas ni imprecisiones en relación con el plan y las actividades nucleares de Irán.
3491,"la policía de pekín detiene a más de 20 personas, entre ellas 8 extranjeros, bajo sospecha de consumo y tráfico de drogas en 2 pubs de una zona popular del centro de la ciudad.",la policía de Pekín detuvo a más de 20 personas sospechosas de consumir y traficar con drogas en dos bares del centro.,0.7599999904632568,"Las autoridades de Pekín arrestaron a más de 20 individuos, incluyendo a 8 extranjeros, por la sospecha de consumo y distribución de narcóticos en 2 bares ubicados en una zona concurrida del centro urbano.",La policía de Pekín capturó a más de 20 individuos sospechosos de consumir y traficar sustancias ilícitas en dos establecimientos nocturnos del centro.
3492,"Rusia ratificó el tratado actualizado en 2004, pero los Estados Unidos y otros miembros de la OTAN se han negado a hacerlo argumentando que Moscú debe cumplir primero con la obligación de retirar las fuerzas de Georgia y de la región separatista de Moldavia del Transdniéster.","Rusia ha ratificado la versión enmendada, pero los Estados Unidos y otros miembros de la OTAN se han negado a hacerlo hasta que el gobierno ruso retire sus tropas de las antiguas repúblicas soviéticas de Moldova y Georgia.",0.8399999618530274,"Rusia validó el tratado actualizado en 2004, sin embargo, Estados Unidos y otros integrantes de la OTAN se rehusaron a aprobarlo, argumentando que primero Moscú debe cumplir con la responsabilidad de retirar las fuerzas de Georgia y de la región separatista de Moldavia en Transdniéster.","Rusia ha ratificado la versión modificada, sin embargo, Estados Unidos y otros miembros de la OTAN se han negado a hacerlo hasta que el gobierno ruso retire sus fuerzas de las antiguas repúblicas soviéticas de Moldavia y Georgia."
3493,hay opiniones contradictorias en cuanto al alcance de los daños sufridos por la insurgencia.,La violencia continúa a pesar de las opiniones contradictorias sobre la magnitud de los daños sufridos por los grupos rebeldes.,0.6400000095367432,Existen discrepancias en cuanto a la extensión de los perjuicios provocados por la insurgencia.,La violencia persiste a pesar de las divergencias de opinión sobre la extensión de las pérdidas sufridas por los grupos insurgentes.
3494,La provincia de Helmand es la mayor región productora de opio del mundo.,La provincia de Helmand es el mayor productor de opio del mundo.,1.0,La provincia de Helmand es la principal zona productora de opio a nivel mundial.,La provincia de Helmand es la mayor productora de opio a nivel mundial.
3495,La policía declaró que Tsai Wen-huang sería extraditado a Taiwán.,la policía declaró que... Chung ha estado huyendo.,0.3599999904632568,La fuerza policial declaró que Tsai Wen-huang sería deportado a Taiwán.,La policía anunció que... Chung se encuentra en fuga.
3496,2 de los individuos arrestados fueron liberados.,2 de los zambianos arrestados son menores.,0.3200000047683716,Dos de los sujetos detenidos fueron liberados.,Dos de los zambianos detenidos son menores de edad.
3497,el presidente mexicano felipe calderón ha enviado 2800 agentes especiales y soldados a sinaloa debido al alto grado de crimen organizado y tráfico de drogas.,El presidente mexicano Felipe Calderón ha enviado 2800 agentes especiales y soldados a Sinaloa para luchar contra el narcotráfico.,0.9199999809265136,"El presidente mexicano, Felipe Calderón, ha enviado 2800 agentes especiales y militares a Sinaloa debido al elevado nivel de crimen organizado y tráfico de drogas.",El mandatario mexicano Felipe Calderón ha enviado 2800 agentes especiales y militares a Sinaloa para combatir el tráfico de narcóticos.
3498,berlín acogerá en octubre reuniones de alto nivel para salvar las principales fuerzas convencionales del tratado europeo de control de armas en europa (cfe),Rusia suspendió su participación en un importante tratado europeo de control de armas que rige el despliegue de tropas en Europa.,0.3599999904632568,Berlín organizará en octubre encuentros de alto rango para preservar las principales fuerzas convencionales del tratado europeo de control de armamento en Europa (CFE).,Rusia ha suspendido su participación en un crucial tratado europeo de control de armas que regula el despliegue de tropas en Europa.
3499,la reunión de la osce duró dos días.,la reunión de la osce se celebró en madrid.,0.3599999904632568,La asamblea de la OSCE tuvo una duración de dos días.,La reunión de la OSCE tuvo lugar en Madrid.
3500,el tratado cfe fue firmado en 1990.,el tratado cfe fue establecido en 1990.,0.9600000381469728,El acuerdo CFE se formalizó en 1990.,El acuerdo CFE fue firmado en 1990.
3501,Irán insiste en que el programa está dirigido únicamente a objetivos pacíficos como la generación de,Irán insiste en que su programa nuclear es para fines pacíficos,0.8800000190734864,"Irán mantiene que el programa se enfoca exclusivamente en propósitos pacíficos, como la producción de energía.",Irán sostiene que su programa nuclear es únicamente para usos pacíficos.
3502,China es una fuerza importante para salvaguardar la paz mundial.,China es una fuerza importante para promover el desarrollo mundial.,0.6800000190734863,China representa una fuerza significativa en la protección de la paz global.,China es un actor fundamental en el fomento del progreso global.
3503,Corea del Norte niega estar involucrada en cualquier programa nuclear en Siria.,Corea del Norte niega estar involucrada en cualquier proyecto nuclear sirio.,0.8800000190734864,Corea del Norte niega cualquier participación en un programa nuclear en Siria.,Corea del Norte refuta cualquier participación en planes nucleares con Siria.
3504,un portavoz del día de Stockwell no estaba disponible inmediatamente para,las autoridades chinas no estaban inmediatamente disponibles para hacer comentarios.,0.2400000095367431,Un vocero del día de Stockwell no pudo ser contactado de inmediato para comentar.,Las autoridades chinas no estaban disponibles de forma inmediata para dar su opinión.
3505,kim myong-chol advirtió que si había una interdicción de los buques norcoreanos el gobierno de Corea del Norte tomaría represalias con un ataque con misiles nucleares contra las principales ciudades como Nueva York y Washington.,Kim Myong-chol declaró que Corea del Norte tomaría represalias con un ataque con misiles nucleares contra grandes ciudades como Nueva York y Washington DC.,0.7599999904632568,"Kim Myong-Chol advirtió que si se imponía una interdicción a los barcos norcoreanos, el gobierno de Corea del Norte respondería con un ataque de misiles nucleares a ciudades principales como Nueva York y Washington.",Kim Myong-chol manifestó que Corea del Norte respondería con un ataque con misiles nucleares contra grandes ciudades como Nueva York y Washington DC.
3506,Irán es el más prolífico aplicador de la pena de muerte en el mundo después de China.,la república islámica es el aplicador más prolífico de la pena de muerte en el mundo después de china.,0.7599999904632568,"Irán es el país que aplica con mayor frecuencia la pena de muerte en el mundo, después de China.","El régimen islámico es el que más penas de muerte aplica en el mundo, solo superado por China."
3507,John Duncan es el embajador de Gran Bretaña para el control multilateral de armas y el desarme.,en la asamblea de la onu el gobierno chino insta a aumentar los esfuerzos para el control de armas y el desarme mundial.,0.2799999952316284,John Duncan se desempeña como embajador del Reino Unido para el control multilateral de armas y el desarme.,"En la asamblea de la ONU, el gobierno chino demanda mayor esfuerzo en el control de armas y el desarme global."
3508,el tratado fue enmendado en 1999 tras el colapso de la unión soviética.,el tratado fue enmendado en 1999 para reflejar los cambios ocurridos desde la desintegración de la Unión Soviética.,0.8,"El tratado fue modificado en 1999, tras la disolución de la Unión Soviética.",El tratado fue modificado en 1999 para reflejar las transformaciones ocurridas tras la disolución de la Unión Soviética.
3509,La Cachemira está dividida entre la India y el Pakistán.,La Cachemira es reclamada tanto por la India como por el Pakistán.,0.8800000190734864,Cachemira se encuentra dividida entre la India y Pakistán.,La Cachemira es un territorio reclamado tanto por India como por Pakistán.
3510,Corea del Sur e Israel se oponen a la proliferación de armas de destrucción masiva y a la carrera armamentista.,China se opondrá decididamente a la proliferación de armas de destrucción masiva.,0.2799999952316284,Surcorea y Israel se manifiestan en contra de la propagación de armamento de aniquilación masiva y de la competencia armamentística.,China se opone firmemente a la propagación de armas de destrucción masiva.
3511,kadhafi advierte que el hecho de que nosotros y Gran Bretaña no compensemos a Libia por el desarme nuclear disuadirá a Irán y Corea del Norte de desarmarse.,El hecho de que los países occidentales no compensen suficientemente a Libia disuadirá a Irán y Corea del Norte de desarmarse.,0.6800000190734863,Gadafi advierte que la falta de compensación por parte nuestra y de Gran Bretaña a Libia por el desarme nuclear desalentará a Irán y Corea del Norte a deshacerse de sus armas.,El hecho de que las naciones occidentales no compensen adecuadamente a Libia desalentará a Irán y Corea del Norte a desmantelar sus arsenales.
3512,Rusia ratificó el tratado enmendado.,Rusia ratificó el tratado actualizado en 2004.,0.6800000190734863,Rusia ha confirmado el tratado modificado.,Rusia aprobó formalmente el acuerdo revisado en 2004.
3513,un personal de 30 especialistas realizará investigaciones y capacitación sobre la guerra cibernética y estará preparado para ayudar a los miembros de la otan a responder a cualquier ataque cibernético futuro.,un equipo de 30 especialistas llevará a cabo la investigación y la formación sobre la guerra cibernética.,0.6800000190734863,un equipo de 30 expertos llevará a cabo estudios e instrucción sobre la guerra cibernética y estará listo para ayudar a los integrantes de la OTAN a enfrentar cualquier ciberataque futuro.,Un grupo de 30 expertos llevará a cabo la investigación y la instrucción sobre la guerra cibernética.
3514,El ala juvenil de Jamaat-i-islami organizó una manifestación separada en Cachemira.,La manifestación del ala juvenil de Jamaat-i-islami fue contra un ataque de los EE.UU. a Irak.,0.6,La rama juvenil de Jamaat-i-islami llevó a cabo una protesta independiente en Cachemira.,La protesta del grupo juvenil de Jamaat-i-islami fue en contra de una acción militar estadounidense en Irak.
3515,Irán es el más prolífico aplicador de la pena de muerte en el mundo después de China.,la república islámica es el aplicador más prolífico de la pena de muerte en el mundo después de china.,0.7599999904632568,"Irán es el país que más aplica la pena capital en el mundo, después de China.","La república islámica es la entidad que más utiliza la pena capital en el mundo, después de China."
3516,China se opondrá resueltamente a los medios de entrega de armas de destrucción masiva.,China siempre se ha opuesto a la proliferación de armas de destrucción masiva.,0.8800000190734864,China se opone firmemente a los medios de suministro de armamento de aniquilación masiva.,China siempre ha expresado su oposición a la expansión de armas de destrucción masiva.
3517,una ruptura del orden en China llevará a una importante agitación mundial.,una ruptura del orden en China será peor que en Afganistán o Yugoslavia.,0.6800000190734863,un colapso del orden en China provocará un gran desorden mundial.,Una desestabilización del orden en China sería más grave que en Afganistán o Yugoslavia.
3518,Corea del Norte ha afirmado tener ambiciones nucleares y actualmente se informa de que tiene misiles dirigidos a Japón.,Corea del Norte se ha jactado de sus ambiciones nucleares y ahora se informa que tiene misiles entrenados en,0.8,Corea del Norte ha declarado tener aspiraciones nucleares y actualmente se reporta que tiene misiles apuntando a Japón.,Corea del Norte ha presumido de sus aspiraciones nucleares y se ha informado que ha desplegado misiles dirigidos a...
3519,abuja es la capital de,Tskhinvali es la capital de Georgia.,0.1600000023841858,Abuja es la capital de Nigeria.,"Tskhinvali es la capital de la región separatista de Osetia del Sur, ubicada en Georgia."
3520,el gobierno de los estados unidos ha acusado al gobierno iraní de intentar desarrollar armas nucleares bajo la cobertura de un programa nuclear civil.,los eeuu y sus aliados han acusado a irán de intentar desarrollar armas nucleares bajo el disfraz de un programa nuclear civil.,0.9199999809265136,La administración de los Estados Unidos ha imputado al gobierno iraní por tratar de crear armamento nuclear bajo el pretexto de un programa nuclear civil.,"Estados Unidos y sus socios internacionales han denunciado que Irán intenta desarrollar armas nucleares, camuflándolo como un programa nuclear para usos pacíficos."
3521,Tirana es la capital de,abuja es la capital de,0.2,Tirana es la ciudad capital de,Abuja es la capital de **Nigeria**.
3522,"en un enfrentamiento armado la policía iraní mató a 4 presuntos traficantes de drogas, arrestó a 2 y se incautó de casi 5 toneladas métricas de opio y morfina.","durante los enfrentamientos armados en el sudeste de irán la policía se incautó de casi 5 toneladas métricas (5,5 toneladas) de opio y morfina.",0.6400000095367432,"En un enfrentamiento armado, las fuerzas policiales iraníes abatieron a 4 presuntos narcotraficantes, detuvieron a 2 y confiscaron casi 5 toneladas métricas de opio y morfina.","En medio de los combates bélicos en el sureste de Irán, las fuerzas policiales decomisaron una cantidad considerable de opio y morfina, equivalente a casi 5 toneladas métricas (5,5 toneladas)."
3523,Los proyectos nucleares de Irán son para fines pacíficos.,Irán insiste en que su programa nuclear es para fines pacíficos,0.7199999809265136,Los programas nucleares de Irán tienen propósitos pacíficos.,Las autoridades iraníes reiteran que su programa nuclear tiene propósitos exclusivamente pacíficos.
3524,China se opondrá decididamente a la proliferación de armas de destrucción masiva.,China se opondrá resueltamente a los medios de entrega de armas de destrucción masiva.,0.8399999618530274,China se opondrá firmemente a la propagación de armas de destrucción masiva.,China mostrará una férrea oposición al suministro de armas de destrucción masiva.
3525,China es el aliado más cercano de Corea del Norte.,Corea del Norte es un estado solitario.,0.2400000095367431,China es el aliado más estrecho de Corea del Norte.,La República Popular Democrática de Corea mantiene una postura aislada en el escenario internacional.
3526,el ministro de relaciones exteriores de libia abdel rahman shalgam visitó londres durante la primera visita de un ministro de relaciones exteriores de libia desde 1969.,La visita de Shalgam a Londres es la primera de un ministro libio desde 1969.,0.8399999618530274,"El ministro de asuntos exteriores de Libia, Abdel Rahman Shalgam, visitó Londres en la primera visita de un ministro de asuntos exteriores de Libia desde 1969.",El viaje de Shalgam a Londres marca la primera vez que un ministro libio visita la capital británica desde 1969.
3527,Goff declaró que esto representa una gran amenaza para la seguridad mundial.,presenta una gran amenaza para la seguridad mundial.,0.7199999809265136,Goff afirmó que esto representa una gran amenaza para la seguridad global.,Constituye un grave peligro para la seguridad global.
3528,camboya y vietnam finalizaron un acuerdo para detener a los traficantes de drogas asiáticos y europeos.,funcionarios sirios y rusos firmaron un acuerdo de cooperación en la lucha contra el tráfico de drogas.,0.4,Camboya y Vietnam llegaron a un acuerdo para detener a los traficantes de drogas asiáticos y europeos.,Representantes de Siria y Rusia sellaron un pacto para colaborar en la batalla contra el comercio ilícito de estupefacientes.
3529,Los activistas han declarado que Rusia está encarcelando a personas sin pruebas de actividad ilegal.,Rusia encarcela a las personas sin pruebas de actividad ilegal.,0.8399999618530274,Los activistas han declarado que Rusia está encarcelando a personas sin evidencias de actividad delictiva.,Las autoridades rusas están deteniendo a ciudadanos sin presentar evidencias de acciones ilícitas.
3530,La contención de los grupos extremistas es cada vez más difícil debido a la forma en que se financian los grupos.,Bruguiere declaró... restringir a los grupos extremistas particularmente en toda Europa se estaba volviendo cada vez más difícil por la forma en que se financian los grupos.,0.7599999904632568,La restricción de los grupos radicales se vuelve cada vez más desafiante debido a las formas en que dichos grupos obtienen financiamiento.,"Bruguiere afirmó que... restringir las actividades de los grupos extremistas, en especial en toda Europa, se estaba volviendo cada vez más complicado debido a la forma en que se financian estas organizaciones."
3531,Zabol es un pueblo en el sudeste de Irán.,khoramabad es una ciudad en el oeste de Irán.,0.2400000095367431,Zabol es una localidad ubicada en el sureste de Irán.,Khoramabad es una ciudad situada en la región occidental de Irán.
3532,"detenidos para ser acusados de homicidio, colaboración delictiva, secuestro y financiación del terrorismo, e incluye a miembros del ejército y la policía.","iguaran declaró que los detenidos serán acusados de homicidio, colaboración criminal, secuestro y financiación del terrorismo.",0.65,"Los detenidos están a la espera de ser acusados de asesinato, colaboración criminal, secuestro y financiamiento del terrorismo, entre los cuales se encuentran integrantes del ejército y la policía.","Iguaran comunicó que los arrestados enfrentarán cargos por homicidio, asociación delictiva, secuestro y financiamiento del terrorismo."
3533,las barras existentes podrían producir 3-6 bombas atómicas en 6-8 meses.,Los expertos afirmaron que las barras podían producir 3-6 bombas atómicas en 6-8 meses.,0.8399999618530274,Las barras existentes podrían fabricar entre 3 y 6 bombas nucleares en un lapso de 6 a 8 meses.,Los expertos afirmaron que las barras tenían la capacidad de producir entre 3 y 6 bombas atómicas en un periodo de 6 a 8 meses.
3534,el organismo internacional de energía atómica puede haber sido engañado porque estaba ansioso por un trato.,el plan del Organismo Internacional de Energía Atómica lleva las negociaciones durante muchos meses.,0.4800000190734863,El organismo internacional de energía nuclear podría haber sido engañado debido a su deseo por lograr un acuerdo.,El plan del Organismo Internacional de Energía Atómica ha mantenido las negociaciones durante varios meses.
3535,el gobierno de myanmar ha declarado que myanmar estará libre de opio para 2014.,el gobierno de myanmar declaró que myanmar está en camino de estar libre de drogas para 2014.,0.9199999809265136,El gobierno de Myanmar ha anunciado que Myanmar estará libre de opio para el año 2014.,El gobierno de Myanmar anunció que el país está en camino de erradicar las drogas para el año 2014.
3536,el grupo judío-estadounidense la liga antidifamación (adl) publicó en abril de 2008 anuncios a toda página en periódicos suizos e internacionales en los que se acusaba a suiza de financiar el terrorismo mediante el acuerdo.,"La Liga Antidifamación publicó anuncios de página entera en periódicos suizos e internacionales a principios de abril de 2008, acusando a Suiza de financiar el terrorismo a través del acuerdo.",0.8800000190734864,La organización judía-estadounidense la Liga Antidifamación (ADL) publicó en abril de 2008 anuncios a página completa en periódicos suizos e internacionales en los que acusaban a Suiza de financiar el terrorismo a través del acuerdo.,"La Liga Antidifamación publicó anuncios de página completa en periódicos suizos e internacionales a principios de abril de 2008, acusando a Suiza de financiar el terrorismo a través del acuerdo."
3537,"Francia proporciona los cohetes, las armas y los motores.",Gran Bretaña proporciona tanques de combustible y cajas de cambio.,0.3599999904632568,"Francia suministra los cohetes, las armas y los motores.",Gran Bretaña proporciona tanques de combustible y cajas de cambio.
3538,"Los delitos capitales en Arabia Saudita incluyen la violación, el asesinato, la apostasía, el robo a mano armada y el tráfico de drogas.","Los delitos capitales en Irán incluyen el asesinato, la violación, el robo a mano armada, el tráfico grave de drogas y el adulterio.",0.6400000095367432,"Los delitos capitales en Arabia Saudita incluyen la violación, el homicidio, la apostasía, el robo a mano armada y el tráfico de drogas.","Los crímenes capitales en Irán incluyen el asesinato, la violación, el robo con violencia, el tráfico de drogas a gran escala y el adulterio."
3539,Bae Systems es la mayor empresa de defensa del Reino Unido.,bae systems es el mayor sistema militar del Reino Unido,0.6800000190734863,Bae Systems es la compañía de defensa más grande del Reino Unido.,Bae Systems es la mayor empresa de sistemas militares del Reino Unido.
3540,Lavrov nos ha dicho a la Secretaria de Estado Condoleezza Rice que Rusia sigue abierta al diálogo.,"La Secretaria de Estado de los Estados Unidos, Condoleezza Rice, exigió a Rusia que retirara sus fuerzas.",0.5599999904632569,"El Ministro de Asuntos Exteriores, Lavrov, ha comunicado a la Secretaria de Estado, Condoleezza Rice, que Rusia continúa receptiva al diálogo.","La Secretaria de Estado de Estados Unidos, Condoleezza Rice, instó a Rusia a retirar sus tropas."
3541,Otras personas y entidades están sujetas a la congelación de activos.,la resolución incluye una lista ampliada de personas y entidades sujetas a la congelación de activos.,0.7599999904632568,Individuos y organizaciones se encuentran sujetos a la inmovilización de sus bienes.,La resolución incluye un catálogo más amplio de personas y entidades sujetas a la congelación de activos.
3542,La retirada del tratado permitiría a Rusia reforzar sus fuerzas cerca de las fronteras rusas.,La retirada del tratado de fuerzas convencionales en Europa permitiría a Rusia reforzar sus fuerzas cerca de las fronteras rusas.,0.6800000190734863,La anulación del acuerdo permitiría a Rusia fortalecer sus tropas en las cercanías de las fronteras rusas.,La derogación del tratado de fuerzas convencionales en Europa permitiría a Rusia aumentar sus efectivos cerca de las fronteras rusas.
3543,Fan declaró que la comisión se preocupa principalmente por el plazo de las futuras inversiones en Taiwán.,Fan declaró que la comisión se asegurará de que los compromisos se mantengan una vez que las inversiones estén en marcha.,0.3599999904632568,Fan manifestó que la comisión se centra principalmente en el periodo de las próximas inversiones en Taiwán.,Fan declaró que la comisión velará por que los compromisos se cumplan una vez que las inversiones se pongan en marcha.
3544,"El portavoz del Gobierno, Sr. Maseko, declaró que si los documentos administrativos están en regla, el Gobierno de Sudáfrica no puede intervenir para impedir que se transporten armas a través de su territorio a un país vecino sin litoral.","El portavoz Themba Maseko declaró que mientras los documentos administrativos estén en orden, Sudáfrica no puede intervenir para impedir que se transporten armas a través del territorio sudafricano a Zimbabwe.",0.5599999904632569,"El vocero del Gobierno, Sr. Maseko, afirmó que si los documentos gubernamentales están en orden, el Gobierno de Sudáfrica no puede interceder para impedir el transporte de armas a través de su territorio a un país vecino sin salida al mar.","El portavoz Themba Maseko afirmó que, mientras los documentos administrativos estén en regla, Sudáfrica no puede intervenir para impedir el transporte de armas a través de territorio sudafricano a Zimbabue."
3545,La declaración del presidente Dimitri Medvedev fue publicada en el sitio web del Kremlin y llevada en su totalidad por las agencias de noticias estatales.,la declaración fue publicada en la página web del Kremlin y llevada por las agencias de noticias estatales.,0.6400000095367432,La afirmación del presidente Dimitri Medvedev fue publicada en el sitio web del Kremlin y transmitida en su totalidad por los medios de comunicación estatales.,La declaración se publicó en la página web del Kremlin y fue difundida por las agencias de noticias estatales.
3546,turkmenistán limita con afganistán.,sistán-baluchistán limita con afganistán y pakistán.,0.3599999904632568,Turkmenistán comparte frontera con Afganistán.,Sistán-Baluchistán comparte frontera con Afganistán y Pakistán.
3547,el número de ejecuciones aumentó en irán el año pasado en el marco de una campaña destinada a mejorar la seguridad de la sociedad.,El número de ejecuciones aumentó drásticamente en 2007 en el marco de una campaña que las autoridades iraníes afirman que tiene por objeto mejorar la seguridad en la sociedad.,0.6800000190734863,El número de ejecuciones se incrementó en Irán el año pasado en el contexto de una campaña encaminada a mejorar la seguridad social.,El número de ejecuciones se incrementó considerablemente en 2007 en el marco de una campaña que las autoridades iraníes aseguran que tiene como objetivo mejorar la seguridad de la sociedad.
3548,Siria niega tener un programa nuclear no declarado.,Siria niega la existencia de un programa nuclear no declarado.,1.0,Siria niega poseer un programa nuclear no declarado.,Siria rechaza la existencia de un programa nuclear secreto.
3549,Amnistía Internacional es un grupo de derechos con sede en Londres.,el instituto internacional de estudios estratégicos está situado en londres.,0.2799999952316284,Amnistía Internacional es una organización de derechos humanos con sede en Londres.,El Instituto Internacional de Estudios Estratégicos tiene su sede en Londres.
3550,el número 254 se tabuló con un recuento de afp recopilado de los informes de prensa y de los testigos.,el número de ejecuciones en irán en 2007 se calculó mediante un recuento de afp recopilado a partir de informes de prensa.,0.4400000095367432,"El número 254 fue registrado utilizando un conteo de AFP, obtenido tanto de reportes periodísticos como de testigos presenciales.",La cantidad de ejecuciones que ocurrieron en Irán durante el año 2007 se determinó a través del análisis de información obtenida de publicaciones periodísticas.
3551,el gobierno iraní declaró... el programa nuclear iraní sigue siendo pacífico.,el gobierno iraní dice que el programa nuclear es pacífico.,1.0,La administración iraní afirmó... el proyecto nuclear de Irán continúa teniendo propósitos pacíficos.,El gobierno de Irán asegura que su programa nuclear tiene fines exclusivamente pacíficos.
